"UserName","Description","DelayedAutoStart","BinaryPathName","StartupType","Name","RequiredServices","CanPauseAndContinue","CanShutdown","CanStop","DisplayName","DependentServices","MachineName","ServiceName","ServicesDependedOn","StartType","ServiceHandle","Status","ServiceType","Site","Container"
"LocalSystem","Alienware SupportAssist Remediation Service","True","""C:\Program Files\Dell\SARemediation\agent\DellSupportAssistRemedationService.exe""","AutomaticDelayedStart","Alienware SupportAssist Remediation","System.ServiceProcess.ServiceController[]","False","True","True","Alienware SupportAssist Remediation","System.ServiceProcess.ServiceController[]",".","Alienware SupportAssist Remediation","System.ServiceProcess.ServiceController[]","Automatic",,"Running","Win32OwnProcess",,
"LocalSystem","Manages Trend Micro security modules","False","""C:\Program Files\Trend Micro\AMSP\coreServiceShell.exe"" coreFrameworkHost.exe -m=nb -dt=60000 -ad -bt=0","Automatic","Amsp","System.ServiceProcess.ServiceController[]","False","True","False","Trend Micro Solution Platform","System.ServiceProcess.ServiceController[]",".","Amsp","System.ServiceProcess.ServiceController[]","Automatic",,"Running","Win32OwnProcess",,
"LocalSystem",,"True","""C:\Program Files\Trend Micro\AMSP\AMSPTelemetryService.exe"" 60 30 -sp=1 1","AutomaticDelayedStart","AMSPTLM","System.ServiceProcess.ServiceController[]","False","True","False","Trend Micro Activity Data Service","System.ServiceProcess.ServiceController[]",".","AMSPTLM","System.ServiceProcess.ServiceController[]","Automatic",,"Running","Win32OwnProcess",,
"LocalSystem","Facilitates the running of interactive applications with additional administrative privileges.  If this service is stopped, users will be unable to launch applications with the additional administrative privileges they may require to perform desired user tasks.","False","C:\WINDOWS\system32\svchost.exe -k netsvcs -p","Manual","Appinfo","System.ServiceProcess.ServiceController[]","False","False","True","Application Information","System.ServiceProcess.ServiceController[]",".","Appinfo","System.ServiceProcess.ServiceController[]","Manual",,"Running","Win32OwnProcess, Win32ShareProcess",,
"LocalSystem","Provides the interface to Apple mobile devices.","False","""C:\Program Files\Common Files\Apple\Mobile Device Support\AppleMobileDeviceService.exe""","Automatic","Apple Mobile Device Service","System.ServiceProcess.ServiceController[]","False","False","True","Apple Mobile Device Service","System.ServiceProcess.ServiceController[]",".","Apple Mobile Device Service","System.ServiceProcess.ServiceController[]","Automatic",,"Running","Win32OwnProcess",,
"LocalSystem","Provides infrastructure support for deploying Store applications. This service is started on demand and if disabled Store applications will not be deployed to the system, and may not function properly.","False","C:\WINDOWS\system32\svchost.exe -k wsappx -p","Manual","AppXSvc","System.ServiceProcess.ServiceController[]","False","True","True","AppX Deployment Service (AppXSVC)","System.ServiceProcess.ServiceController[]",".","AppXSvc","System.ServiceProcess.ServiceController[]","Manual",,"Running","Win32OwnProcess, Win32ShareProcess",,
"LocalSystem","Manages audio devices for the Windows Audio service.  If this service is stopped, audio devices and effects will not function properly.  If this service is disabled, any services that explicitly depend on it will fail to start","False","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p","Automatic","AudioEndpointBuilder","System.ServiceProcess.ServiceController[]","False","False","True","Windows Audio Endpoint Builder","System.ServiceProcess.ServiceController[]",".","AudioEndpointBuilder","System.ServiceProcess.ServiceController[]","Automatic",,"Running","Win32OwnProcess, Win32ShareProcess",,
"NT AUTHORITY\LocalService","Manages audio for Windows-based programs.  If this service is stopped, audio devices and effects will not function properly.  If this service is disabled, any services that explicitly depend on it will fail to start","False","C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p","Automatic","Audiosrv","System.ServiceProcess.ServiceController[]","False","False","True","Windows Audio","System.ServiceProcess.ServiceController[]",".","Audiosrv","System.ServiceProcess.ServiceController[]","Automatic",,"Running","Win32OwnProcess",,
"LocalSystem","Alienware Command Center Service","True","""C:\Program Files\Alienware\Alienware Command Center\AWCC.Service.exe""","AutomaticDelayedStart","AWCCService","System.ServiceProcess.ServiceController[]","False","True","True","AWCCService","System.ServiceProcess.ServiceController[]",".","AWCCService","System.ServiceProcess.ServiceController[]","Automatic",,"Running","Win32OwnProcess",,
"","This user service is used for Game Recordings and Live Broadcasts","False","C:\WINDOWS\system32\svchost.exe -k BcastDVRUserService","Manual","BcastDVRUserService_1997b6","System.ServiceProcess.ServiceController[]","False","False","True","GameDVR and Broadcast User Service_1997b6","System.ServiceProcess.ServiceController[]",".","BcastDVRUserService_1997b6","System.ServiceProcess.ServiceController[]","Manual",,"Running","240",,
"NT AUTHORITY\LocalService","The Base Filtering Engine (BFE) is a service that manages firewall and Internet Protocol security (IPsec) policies and implements user mode filtering. Stopping or disabling the BFE service will significantly reduce the security of the system. It will also result in unpredictable behavior in IPsec management and firewall applications.","False","C:\WINDOWS\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p","Automatic","BFE","System.ServiceProcess.ServiceController[]","False","False","True","Base Filtering Engine",,".","BFE","System.ServiceProcess.ServiceController[]","Automatic",,"Running","Win32ShareProcess",,
"LocalSystem","Transfers files in the background using idle network bandwidth. If the service is disabled, then any applications that depend on BITS, such as Windows Update or MSN Explorer, will be unable to automatically download programs and other information.","True","C:\WINDOWS\System32\svchost.exe -k netsvcs -p","AutomaticDelayedStart","BITS","System.ServiceProcess.ServiceController[]","False","False","True","Background Intelligent Transfer Service","System.ServiceProcess.ServiceController[]",".","BITS","System.ServiceProcess.ServiceController[]","Automatic",,"Running","Win32OwnProcess, Win32ShareProcess",,
"","The Bluetooth user service supports proper functionality of Bluetooth features relevant to each user session.","False","C:\WINDOWS\system32\svchost.exe -k BthAppGroup -p","Manual","BluetoothUserService_1997b6","System.ServiceProcess.ServiceController[]","False","False","True","Bluetooth User Support Service_1997b6","System.ServiceProcess.ServiceController[]",".","BluetoothUserService_1997b6","System.ServiceProcess.ServiceController[]","Manual",,"Running","240",,
"LocalSystem","Enables hardware devices and software services to automatically configure themselves on the network and advertise their presence.","False","""C:\Program Files\Bonjour\mDNSResponder.exe""","Automatic","Bonjour Service","System.ServiceProcess.ServiceController[]","False","True","True","Bonjour Service","System.ServiceProcess.ServiceController[]",".","Bonjour Service","System.ServiceProcess.ServiceController[]","Automatic",,"Running","Win32OwnProcess",,
"LocalSystem","Windows infrastructure service that controls which background tasks can run on the system.","False","C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p","Automatic","BrokerInfrastructure","System.ServiceProcess.ServiceController[]","False","False","False","Background Tasks Infrastructure Service",,".","BrokerInfrastructure","System.ServiceProcess.ServiceController[]","Automatic",,"Running","Win32ShareProcess",,
"LocalSystem","Maintains an updated list of computers on the network and supplies this list to computers designated as browsers. If this service is stopped, this list will not be updated or maintained. If this service is disabled, any services that explicitly depend on it will fail to start.","False","C:\WINDOWS\System32\svchost.exe -k netsvcs -p","Manual","Browser","System.ServiceProcess.ServiceController[]","False","False","True","Computer Browser","System.ServiceProcess.ServiceController[]",".","Browser","System.ServiceProcess.ServiceController[]","Manual",,"Running","Win32OwnProcess, Win32ShareProcess",,
"NT AUTHORITY\LocalService","Service supporting the audio gateway role of the Bluetooth Handsfree Profile.","False","C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted","Manual","BTAGService","System.ServiceProcess.ServiceController[]","False","False","True","Bluetooth Audio Gateway Service","System.ServiceProcess.ServiceController[]",".","BTAGService","System.ServiceProcess.ServiceController[]","Manual",,"Running","Win32OwnProcess, Win32ShareProcess",,
"NT AUTHORITY\LocalService","This is Audio Video Control Transport Protocol service","False","C:\WINDOWS\system32\svchost.exe -k LocalService -p","Manual","BthAvctpSvc","System.ServiceProcess.ServiceController[]","False","False","True","AVCTP service","System.ServiceProcess.ServiceController[]",".","BthAvctpSvc","System.ServiceProcess.ServiceController[]","Manual",,"Running","Win32OwnProcess, Win32ShareProcess",,
"NT AUTHORITY\LocalService","The Bluetooth service supports discovery and association of remote Bluetooth devices.  Stopping or disabling this service may cause already installed Bluetooth devices to fail to operate properly and prevent new devices from being discovered or associated.","False","C:\WINDOWS\system32\svchost.exe -k LocalService -p","Manual","bthserv","System.ServiceProcess.ServiceController[]","False","True","True","Bluetooth Support Service","System.ServiceProcess.ServiceController[]",".","bthserv","System.ServiceProcess.ServiceController[]","Manual",,"Running","Win32OwnProcess, Win32ShareProcess",,
